gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeProbability,drawProbability,awayProbability,homeGoalsHalfTime,awayGoalsHalfTime,B365H,B365D,B365A
198,1,2015,2015-11-08 17:30:00,71,88,0,0,0.0255,0.168,0.8065,0,0,7.5,5.0,1.44
199,1,2015,2015-11-08 20:00:00,83,82,1,1,0.6761,0.1989,0.125,0,1,1.73,4.0,5.0
200,1,2015,2015-11-08 20:00:00,87,78,1,2,0.7015,0.1917,0.1068,1,1,1.67,3.8,6.0
201,1,2015,2015-11-21 16:45:00,90,89,1,2,0.4077,0.2975,0.2948,0,1,4.33,3.4,2.0
202,1,2015,2015-11-21 19:00:00,84,73,2,2,0.4528,0.2667,0.2805,2,2,1.91,3.6,4.5
203,1,2015,2015-11-21 19:00:00,74,85,0,1,0.2046,0.3092,0.4862,0,1,1.57,4.0,7.0
204,1,2015,2015-11-21 19:00:00,76,83,2,1,0.0257,0.1089,0.8654,2,1,7.0,4.33,1.53
205,1,2015,2015-11-21 19:00:00,86,75,0,3,0.0047,0.0279,0.9674,0,1,2.88,3.6,2.5
206,1,2015,2015-11-21 19:00:00,72,71,4,0,0.9355,0.0534,0.0111,3,0,1.57,4.2,6.5
207,1,2015,2015-11-21 19:00:00,80,79,1,0,0.8702,0.1111,0.0187,0,0,1.4,5.0,9.0
208,1,2015,2015-11-21 21:30:00,88,87,1,4,0.0916,0.1649,0.7435,1,3,1.7,4.0,5.5
209,1,2015,2015-11-22 20:00:00,82,81,4,1,0.8979,0.0791,0.023,2,0,1.57,4.2,6.5
210,1,2015,2015-11-24 00:00:00,78,77,0,1,0.1696,0.283,0.5474,0,0,1.57,4.0,7.0
211,1,2015,2015-11-28 19:00:00,77,85,2,0,0.3156,0.367,0.3174,0,0,3.2,3.3,2.45
212,1,2015,2015-11-28 19:00:00,71,90,2,3,0.3732,0.2821,0.3447,1,1,2.75,3.3,2.8
213,1,2015,2015-11-28 19:00:00,73,72,3,3,0.6317,0.2298,0.1385,0,2,2.9,3.6,2.5
214,1,2015,2015-11-28 19:00:00,78,86,5,1,0.5981,0.2543,0.1476,3,1,1.7,3.9,5.5
215,1,2015,2015-11-28 19:00:00,88,74,3,1,0.6125,0.2333,0.1542,2,0,1.6,4.33,6.0
216,1,2015,2015-11-28 21:30:00,75,89,1,1,0.2717,0.3525,0.3758,1,1,3.1,3.5,2.4
217,1,2015,2015-11-29 16:00:00,82,80,0,0,0.2151,0.5885,0.1964,0,0,2.6,3.4,2.9
218,1,2015,2015-11-29 18:05:00,81,76,1,1,0.4799,0.3079,0.2122,1,0,2.05,3.5,4.0
219,1,2015,2015-11-29 20:15:00,87,84,1,0,0.6697,0.2541,0.0762,0,0,1.44,4.75,8.0
220,1,2015,2015-11-29 20:15:00,79,83,1,1,0.1807,0.2772,0.5421,1,1,6.0,4.2,1.62
221,1,2015,2015-12-05 16:45:00,85,88,2,0,0.8008,0.1534,0.0458,2,0,5.25,4.0,1.7
222,1,2015,2015-12-05 19:00:00,84,75,0,3,0.0979,0.1674,0.7347,0,2,2.7,3.4,2.75
223,1,2015,2015-12-05 19:00:00,90,79,2,0,0.8662,0.1112,0.0226,1,0,2.15,3.5,3.6
224,1,2015,2015-12-05 19:00:00,76,82,1,1,0.4505,0.317,0.2325,1,1,4.75,3.6,1.85
225,1,2015,2015-12-05 19:00:00,83,77,3,1,0.5667,0.2329,0.2004,1,1,1.29,6.0,13.0
226,1,2015,2015-12-05 19:00:00,89,81,0,0,0.5319,0.2566,0.2115,0,0,1.44,4.5,9.0
227,1,2015,2015-12-05 19:00:00,74,71,1,1,0.7861,0.143,0.0709,0,1,1.5,4.5,7.5
228,1,2015,2015-12-05 21:30:00,80,73,0,1,0.4674,0.2706,0.262,0,0,1.36,5.25,9.5
